request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7450.67|2025-09-06:7450.67|2025-10-06:7450.66,2025-08-06,none,"Full payment disallowed; safe 22352.00 split into 3 installments of ~7450.67, final payment 2025-10-06 before 2025-10-11 deadline."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Safe amount 271.70 EUR matches full request 271.70 EUR today; payment fits before 2024-06-14 deadline without spending cuts.
request_113,24115.24,affordable_later,wait,2026-09-15:36500.00,2026-09-15,none,"Safe balance today is 24115.24 INR vs 36500.00 due. Salary arrival enables full payment on 2026-09-15, well before 2026-10-19 deadline."
request_114,59074.66,not_affordable,not_recommended,none,,none,"Do not make this payment of INR 65,300 by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected, and a partial payment is not permitted for this request."
request_115,14822.81,affordable_later,wait,2024-11-15:80500.00,2024-11-15,none,Wait
request_116,7511.65,not_affordable,not_recommended,none,,none,"Do not make this INR 241,200 family transfer by 16 April 2025. No combination of partial payments, installments, or spending cuts can cover the request while keeping the INR 80,300 minimum protected."
request_117,860.18,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2026. None of the available options keeps the EUR 1,000 minimum protected."
request_118,697.48,affordable_with_plan,installments,2024-12-07:246.03|2025-01-06:246.03|2025-02-05:246.04,2025-01-20,none,Safe today 697.48 vs 738.10 due. Three installments (~246.03 each) fit before 2025-02-08 deadline.
request_119,59841.6,affordable_with_plan,installments,2025-05-18:67833.33|2025-06-17:67833.33|2025-07-17:67833.34,2025-06-15,none,Safe today is 59841.60 of 203500; 3 installments of 67833.33 average fit before 2025-07-17 deadline without touching protected funds.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,"Safe today equals requested 7,714,000 IDR; post-payment balance 24,034,980 exceeds 20,050,300 minimum. Pay full amount now."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"Safe today equals requested 633.60; balance 1741.00 covers payment leaving 1107.40, above 800.00 minimum. Pay fully now."
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:6852666.67|2025-09-03:6852666.67|2025-10-02:6852666.66,2025-08-05,none,"Safe balance 20,558,000 IDR covers request; only installments permitted, split into 3 payments fitting deadline 2025-10-02."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,"Safe today 4,076,000 IDR equals request; balance 63.7M stays above 18.1M minimum after payment. Pay full on 2026-01-07."
request_124,1392.37,affordable_with_plan,installments,2024-06-11:1034.73|2024-07-11:1034.73|2024-08-10:1034.74,2024-07-15,none,"Safe today is 1392.37 vs 3104.20 requested. 3 monthly installments (1034.73 each) run Jun 11–Aug 10, fitting the 2024-08-20 deadline."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468.00,2025-11-06,none,"Safe today 6468.00 equals requested 6468.00; paying fully on 2025-11-06 leaves 15559.97, above 11300.00 minimum. No cuts needed."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,none,"Safe amount 159600 equals requested; balance 403175 minus 129700 buffer covers full payment now, zero fee. Incoming 152000 invoice on 2026-07-15 adds cushion."
request_127,8823.32,affordable_later,wait,2024-10-15:23980.00,2024-10-15,none,"Wait until 15 October 2024, then pay ZAR 23,980 in full. Paying sooner would put the ZAR 41,000 minimum at risk."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,"Safe amount 25168.00 ZAR equals requested; paying today leaves balance 55543.70 ZAR, well above 42600.00 minimum."
request_129,115.68,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800
request_130,442.02,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Only $442.02 safe today vs $1978.8 needed; earliest full-payment date 2025-02-15 meets deadline, so wait."
request_131,1184.66,affordable_with_plan,installments,2025-05-06:618.40|2025-06-05:618.40|2025-07-05:618.40,2025-06-23,none,Use 3 installments of
request_132,307.81,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Wait until 15 January 2026, then pay USD 379.86 in full. Paying sooner would put the USD 1,100 minimum at risk."
request_133,15770000.0,not_affordable,not_recommended,none,,none,"Safe funds 15,770,000 IDR equal request, but full_payment not allowed, partial_ok=False, and no installments exist; no compliant method available."
request_134,5050399.92,affordable_later,wait,2025-10-15:21831000.00,2025-10-15,none,"Wait until 15 October 2025, then pay IDR 21,831,000 in full. Paying sooner would put the IDR 15,902,500 minimum at risk."
request_135,280.59,not_affordable,not_recommended,none,,none,"Deterministic fallback: safe=280.59, earliest_full=2026-07-15"
request_136,541.86,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-03,reduce_to:event_12482:27.2|reduce_to:event_12490:27.2|reduce_to:event_12498:27.2,
request_137,25619.84,affordable_later,wait,2026-01-15:80100.00,2026-01-15,none,"Wait until 15 January 2026, then pay INR 80,100 in full. Paying sooner would put the INR 71,800 minimum at risk."
request_138,1011.21,affordable_with_plan,partial_payment,2026-04-07:1011.21|2026-04-15:245.73,2026-04-15,none,"Safe today: 1011.21 of 1256.94. Partial payment now, remainder 245.73 by 2026-04-15—cheaper than installments costing 50-75 EUR fees."
request_139,1889.03,affordable_with_plan,installments,2024-09-07:772.00|2024-10-07:772.00|2024-11-06:772.00,2024-09-15,none,Safe today 1889.03 is below 2316.00 and full payment not allowed. Three installments of 772.00 fit before 2024-11-17.
request_140,1362.72,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 202
request_141,22303.38,not_affordable,not_recommended,none,,none,"Do not make the INR 171,600.00 payment by 12 February 2026. None of the available options keeps the INR 67,300.00 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Safe funds 1263.60 exactly match the 1263.60 investment; pay in full on 2024-12-05, no fee, minimum balance preserved."
request_143,3026.37,affordable_later,wait,2025-07-15:12584.00,2025-07-15,none,Safe today is 3026.37 ZAR versus 12584.0 ZAR requested. Partial payment not permitted; no installments. Full payment possible exactly on 2025-07-15 deadline.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Safe amount 233.34 equals requested 233.34; balance 1248.08 stays above 600 minimum after payment. Pay in full today.
request_145,28272.08,affordable_with_plan,installments,2024-03-20:72466.67|2024-04-20:72466.67|2024-05-20:72466.66,2024-05-20,none,"Full payment blocked; safe today only 28272.08 of 217400 INR. Use 3 installments (~72466.67 INR) ending 2024-05-20, before deadline 2024-05-26."
request_146,16418.24,not_affordable,not_recommended,none,,none,Do not make this housing payment of INR
request_147,469.92,affordable_with_plan,installments,2026-04-08:376.57|2026-05-08:376.57|2026-06-07:376.56,2026-05-15,none,Only installments allowed. Three payments (2x376.57 + 376.56) sum to 1129.70 by 2026-06-07; safe today 469.92; salary resumes 2026-04-15.
request_148,7244.25,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Deterministic fallback: safe=7244.25, earliest_full=2024-07-15"
request_149,24824.53,affordable_with_plan,installments,2025-11-18:12217.34|2025-12-18:12217.33|2026-01-17:12217.33,2025-12-15,none,Safe today 24824.53 ZAR below 36652 requested; 3 installments of ~12217.33 ZAR fit before 2026-01-19 deadline.
request_150,276.87,affordable_later,wait,2026-03-15:496.10,2026-03-15,none,"Only 276.87 EUR is safe to pay today, but the full 496.10 EUR becomes payable on 2026-03-15, one day before the deadline, which avoids the 19.84 EUR fee that the 3-installment option (515.94 EUR total) would add."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,"Safe today equals 26,999,000 IDR; full payment on 2024-09-03 leaves 56,999,265 IDR, well above 31,633,600 minimum; salary confirmed 2024-09-15."
request_152,11879.75,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-03-15,none,"Deterministic fallback: safe=11879.75, earliest_full=2025-03-15"
request_153,41.1,not_affordable,not_recommended,none,,none,"Safe amount $41.10 vs $2830.80 requested; no installment options, partial disallowed, full payment beyond 90d horizon."
request_154,0.0,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,,none,"Deterministic fallback: safe=0.0, earliest_full="
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500.00,2025-05-06,none,"Paying 112500 INR today leaves 105550 INR, well above 56300 INR minimum. Fully affordable now with full_payment."
request_156,9563.75,affordable_later,wait,2026-06-15:43076.00,2026-06-15,none,Safe today is 9563.75 vs 43076.0 needed. No eligible installments; partial not allowed. Full payment possible by 2026-06-15 deadline.
request_157,4748240.19,affordable_later,wait,2024-05-15:23503000.00,2024-05-15,none,"Wait until 15 May 2024, then pay IDR 23,503,000 in full. Paying sooner would put the IDR 15,714,100 minimum at risk."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:80866.67|2025-09-04:80866.67|2025-10-02:80866.66,2025-08-07,none,"Full payment blocked by policy; 3 installments totaling 242,600 INR fit deadline 2025-10-02; safe balance 242,600 today."
request_159,129.62,not_affordable,not_recommended,none,,none,"Do not make this ZAR 13,398.00 investment by 4 January 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,574.66,affordable_with_plan,installments,2024-06-13:415.43|2024-07-13:415.43|2024-08-12:415.44,2024-07-15,none,"Safe today 574.66 < 1246.30; use 3 installments (415.43+415.43+415.44) ending 2024-08-12, before deadline 2024-08-20."
request_161,6841109.28,affordable_later,wait,2026-01-15:21204000.00,2026-01-15,none,"Wait until 15 January 2026, then pay IDR 21,204,000 in full. Paying sooner would put the IDR 23,010,400 minimum at risk."
request_162,1387104.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,"
request_163,9265620.53,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-20,none,"Deterministic fallback: safe=9265620.53, earliest_full=2024-10-20"
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9006000.00|2025-03-11:9006000.00|2025-04-11:9006000.00,2025-02-04,none,"Use 3 installments of IDR 9,006,000"
request_165,70463.34,affordable_later,wait,2026-04-06:80600.00,2026-04-06,none,"Deterministic fallback: safe=70463.34, earliest_full=2026-04-06"
request_166,2907.6,affordable_with_plan,installments,2024-12-03:969.20|2025-01-03:969.20|2025-02-03:969.20,2024-12-03,none,"Use 3 installments of USD 969.20, starting 3 December 2024."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.00,2025-05-05,none,"Safe today equals requested 43802.00 ZAR. Full payment on 2025-05-05, well before 2025-05-31 deadline, avoids 3504.00 installment fee."
request_168,31025.39,affordable_with_plan,partial_payment,2026-01-07:31025.39|2026-02-15:18354.61,2026-02-15,none,"Pay 31025.39 now, remainder 18354.61 by 2026-02-15; full 49380 settled before 2026-03-16 deadline."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.00,2024-03-04,none,"Safe today 41976 ZAR fully covers request; payment 2024-03-04, well before 2024-05-16 deadline. No spending changes required."
request_170,30756242.25,affordable_with_plan,installments,2025-08-06:12312000.00|2025-09-05:12312000.00|2025-10-04:12312000.00,2025-09-15,none,"Safe today 30,756,242 IDR is below 36,936,000 requested; three equal installments of 12,312,000 IDR fit before 2025-10-04 deadline."
request_171,34.72,not_affordable,not_recommended,none,,none,"Need 1878.80 EUR by 2026-09-10; only 34.72 safe. Partial disallowed, zero installment options, full payment blocked until 2027-01-15."
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304.00|2024-07-05:4896.00,2024-06-05,none,"Safe funds equal 10200 ZAR, but full payment is disallowed; paying via 2 installments (5304 + 4896 = 10200) by 2024-07-05, before the 2024-07-15 deadline."
request_173,63412.33,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:34653.34,2026-01-15,none,"Safe funds 63,412 < 113,000; 3-installment plan totals exactly 113,000, final payment 2026-01-16 before deadline."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:382.07|2026-05-04:382.07|2026-06-04:382.06,2026-04-04,none,"Full payment not allowed; split 1146.20 EUR into 3 installments (2026-04-04 to 2026-06-04), all before deadline; 46 EUR financing fee applies."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Safe today is 2346.30 EUR, exactly covering the request; balance stays 2413.95 EUR, above 1700 EUR minimum."
request_176,369.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 27 February 2025. None of the available options covers the full EUR 1,239.70 while keeping the EUR"
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1"
request_178,2938.1,affordable_with_plan,installments,2024-12-07:979.37|2025-01-06:979.37|2025-02-05:979.36,2024-12-07,none,"Safe amount 2938.10 EUR matches request, but full payment is disallowed; use 3 installments (~979.37 each) finishing 2025-02-05, before deadline."
request_179,22112047.43,affordable_later,wait,2025-07-15:41648000.00,2025-07-15,none,"Safe today 22,112,047 vs 41,648,000 requested. Full amount available exactly on deadline 2025-07-15; wait and pay then."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.00,2026-07-06,none,"Safe today equals requested ₹66,500; full payment avoids ₹5,320 installment fee; balance stays above ₹37,300 minimum."
request_181,413.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 April 2024. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.00,2025-08-05,none,"Safe amount 65714.00 ZAR fully covers request; balance 125010.30 minus payment leaves 59296.30, well above 31100.00 minimum."
request_183,22999932.58,affordable_with_plan,installments,2026-04-10:8955333.34|2026-05-10:8955333.33|2026-06-10:8955333.33,2026-05-15,none,"Safe today 22,999,933 < 26,866,000; full payment blocked. 3 installments of ~8,955,333 fit deadline 2026-06-18."
request_184,7541.22,not_affordable,not_recommended,none,,none,"Do not pay INR 251,900 by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
request_185,417.68,affordable_later,wait,2026-01-15:1257.30,2026-01-15,stop:event_17024|stop:event_17031|stop:event_17038,Safe today 417.68 vs 1257.30 due; full payment earliest 2026-01-15 (deadline). Stopping 3 streaming events (~93/mo) buffers 12% rent increase.
request_186,13727.03,affordable_later,wait,2026-03-15:26554.00,2026-03-15,none,"Safe today is ZAR 13727.03 vs 26554 needed; full payment possible exactly on deadline 2026-03-15, so wait."
request_187,37572.92,affordable_later,wait,2024-11-15:187500.00,2024-11-15,none,"Safe today only 37,572.92 INR of 187,500 due. Salary inflows enable full payment by 2024-11-15, meeting the deadline."
request_188,179.8,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,"Safe today equals requested 488.40 EUR; balance 1147.66 covers full payment while keeping 400 minimum. Pay now, no fee."
request_190,0.0,not_affordable,not_recommended,none,,none,"Safe to pay 0 of 2557.50 EUR; balance 3155.80 with 1600 minimum and projected dip to 1492.39. Max dining cuts (~557) insufficient; full payment only beyond 90d, after deadline."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,"Safe today equals requested 664.40 EUR. Paying leaves 926.66 EUR balance, above 500 minimum. Zero-fee full payment by 2025-05-03."
request_192,180.61,not_affordable,not_recommended,none,,none,"Need $2046 by 2026-05-11 but only $180.61 safe today; full payment beyond 90d, zero installment options, partial forbidden."
request_193,36.57,affordable_with_plan,installments,2024-03-21:404.07|2024-04-21:404.07|2024-05-21:404.06,2024-05-15,none,"Full payment not allowed; safe_today=36.57 vs 1212.20. Use 3 installments of ~404.07 EUR starting 2024-03-21, ending 2024-05-21, within deadline."
request_194,33877.21,affordable_later,wait,2025-10-23:132800.00,2025-10-23,none,"Only 33877.21 of 132800 safe today. Full 132800 payable by 2025-10-23, exactly meeting deadline. Wait until then."
request_195,964.02,affordable_with_plan,installments,2026-01-09:390.14|2026-02-08:390.13|2026-03-10:390.13,2026-02-15,none,Full payment not allowed; safe funds 964.02 < 1170.40. Three installments of ~390.13 summing 1170.40 fit before 2026-03-11 deadline.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Safe today (762.30) fully covers request (762.30); balance stays above 500 EUR minimum with no spending changes required.
request_197,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 21 January
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,none,"Safe today is 185800 INR, matching the request. Paying leaves 209390 INR, above the 124300 INR minimum, well before the 2026-09-21 deadline."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:7891333.33|2024-10-07:7891333.33|2024-11-06:7891333.34,2024-09-04,none,"23,674,000 IDR payable via 3 installments (~7,891,333 each) starting 2024-09-07, ending 2024-11-06, within deadline."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000.00,2025-02-06,none,"Full payment of 21,717,000 IDR affordable today; remaining balance 32,169,150 IDR exceeds 20,114,600 IDR minimum."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.00,2026-04-03,none,"Safe today equals requested 23,997,000 IDR; balance 77,973,400 remains above 17,304,500 minimum. Full payment now, fee-free, no changes needed."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900.00,2024-12-05,none,Safe today 123900 INR matches requested 123900 INR exactly. Balance 366065 minus payment stays above 147800 minimum. Pay now.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1"
request_204,571.39,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Wait until 15 January 2026, then pay EUR 588.74 in full. Paying sooner would put the EUR 1,"
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,none,"Safe today (10,621,000 IDR) equals requested amount from 31,462,900 balance; pay full on 2024-03-06, well before 2024-05-19 deadline."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:468.23|2025-08-31:468.23|2025-09-28:468.24,2025-08-03,none,"Safe funds 1404.70 exist, but full payment disallowed; 3 installments (468.23+468.23+468.24) end 2025-09-28, within deadline."
request_207,7056.4,affordable_later,wait,2026-07-15:11830.00,2026-07-15,none,"Safe today: 7056.40 vs 11830 requested. Full payment possible 2026-07-15 via salary, well before 2026-07-24 deadline."
request_208,3157023.27,affordable_later,wait,2024-06-15:4413000.00,2024-06-15,none,Wait until 15 June 202
request_209,1763.74,not_affordable,not_recommended,none,,none,"Request 56914 ZAR vastly exceeds safe amount 1763.74 ZAR; partial payments disallowed, no installments available, full payment possible only 2026-05-15."
request_210,987.12,affordable_with_plan,partial_payment,2026-04-06:987.12|2026-05-06:372.90,2026-04-15,none,Pay USD 987.12 today and the remaining USD 372.90 on
request_211,350.79,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Only 350.79 safe today vs 1788.6 needed; no installment options. Full amount available exactly by 2024-11-15 deadline, so wait and pay in full."
request_212,6087789.66,not_affordable,not_recommended,none,,none,"Requested 71,934,000 IDR but only 6,087,790 safe today. Feb 23 salary (~33.4M) still leaves shortfall by Feb 28 deadline; no installment options exist."
request_213,2510.14,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Deterministic fallback: safe=2510.14, earliest_full=2026-01-07"
request_214,46689.42,affordable_with_plan,partial_payment,2024-12-04:46689.42|2024-12-15:23060.58,2024-12-15,none,"Deterministic fallback: safe=46689.42, earliest_full=2024-12-15"
request_215,27854.12,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting"
request_216,488.35,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Safe today is 488.35 vs 3332.40 requested. Salary deposits accumulate full amount by 2026-09-15, meeting the deadline exactly."
request_217,3743.2,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,,none,"Deterministic fallback: safe=3743.2, earliest_full="
request_218,27038629.07,affordable_with_plan,installments,2025-08-07:20380666.67|2025-09-06:20380666.67|2025-10-06:20380666.66,2025-09-15,none,"Full payment disallowed; 3 monthly installments of ~20,380,667 IDR fit deadline 2025-10-06; safe today 27,038,629 IDR covers first payment."
request_219,0.0,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,,none,"Deterministic fallback: safe=0.0, earliest_full="
request_220,68.73,not_affordable,not_recommended,none,,none,"Do not make this payment by 3 July 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800.00,2025-11-03,none,"Safe amount 109800 INR equals requested; paying today leaves balance 158505 INR, above 81500 minimum. No spending changes required."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.00,2026-01-05,none,"Safe balance 34078.00 ZAR exactly covers payment today; balance stays above 27300.00 minimum, plus 35200.00 refund arriving 2026-01-15."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Safe-to-pay 898.70 equals requested amount; balance 2255.51 keeps 800 reserve after paying in full today.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5163500.00|2025-03-06:5163500.00,2025-02-04,none,"Safe 10,327,000 IDR covers request, but full payment disallowed; use 2 installments of 5,163,500 IDR, both due before 2025-03-16."
request_225,11057827.36,affordable_with_plan,installments,2026-07-20:7353000.00|2026-08-19:7353000.00|2026-09-18:7353000.00,2026-09-15,none,"Full payment not allowed; 3 installments of 7,353,000 IDR (2026-07-20, 2026-08-19, 2026-09-18) total 22,059,000, fitting deadline."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000.00,2024-12-03,none,"Safe today equals requested 157000 INR (balance 581180, floor 209400). Pay in full on 2024-12-03; no spending changes needed."
request_227,17646.23,not_affordable,not_recommended,none,,none,"Need 259700 by 2025-06-20; only 17646.23 safe today. Partial payments rejected, no installments, full payment disallowed."
request_228,4524578.03,not_affordable,not_recommended,none,,none,"Requested 63,327,000 IDR vs 4,524,578 IDR safe today; zero installment options, no partial method, full payment beyond 90 days."
request_229,511.89,affordable_with_plan,installments,2024-03-18:508.93|2024-04-18:508.93|2024-05-18:508.94,2024-05-15,none,"Safe today 511.89 EUR is insufficient; 3 installments of ~508.93 EUR cover 1526.80 EUR, last payment 2024-05-18 before deadline."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Safe amount 3537.60 EUR equals requested 3537.60 EUR. Pay in full on 2025-08-06, well before 2025-10-04 deadline."
request_231,31557.16,affordable_with_plan,installments,2026-01-06:11902.00|2026-02-06:11902.00|2026-03-06:11902.00,2026-02-15,none,"Use 3 installments of ZAR 11,902"
request_232,758.72,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,"Deterministic fallback: safe=758.72, earliest_full=2024-08-15"
request_233,3775931.01,affordable_with_plan,partial_payment,2025-11-07:3775931.01|2025-12-07:2465068.99,2025-11-15,none,"Pay 3,775,931 now; remainder 2,465,069 by 2025-12-07 salary, before deadline. Cheaper than installments (saves 249,640 fee)."
request_234,268.36,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,Only 268.36 of 1213.30 safe today; salary accumulation reaches full amount exactly by 2026-09-15 deadline. Refund dispute unresolved.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700.00 available over the remaining period.
request_236,5805983.88,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 February 2025. None of the available options keeps the IDR 16,768,600 minimum protected."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.00,2026-04-05,none,"Safe today 23,826,000 equals request; paying leaves 76,998,550, well above 22,431,500 minimum."
request_238,663.6,affordable_with_plan,installments,2024-12-07:221.20|2025-01-06:221.20|2025-02-05:221.20,2024-12-07,none,Full payment prohibited; 3 installments of 221.20 (663.60 total) fit before 2025-02-16 deadline; note 27 fee makes actual cost 690.15.
request_239,642.0,affordable_now,full_payment,2025-05-04:642.00,2025-05-04,none,Safe amount 642.00 equals requested 642.00. Full payment today (fee 0) beats installments costing 693.36. Balance remains above 600 minimum.
request_240,13919.71,affordable_with_plan,partial_payment,2026-01-06:13919.71|2026-03-20:87280.29,2026-03-20,none,"Deterministic fallback: safe=13919.71, earliest_full=2026-03-20"
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7017333.33|2024-04-16:7017333.33|2024-05-16:7017333.34,2024-03-03,none,"Safe funds equal 21,052,000 IDR, but full payment disallowed; 3 installments of ~7,017,333 IDR fit deadline 2024-05-25."
request_242,0.0,not_affordable,not_recommended,none,,none,"Safe today is 0.00 EUR; 1966.80 needed by 2025-08-25. No installments, partial disallowed, earliest full payment beyond 90d."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468.00,2026-07-07,none,"Safe today equals requested 17468.00 ZAR; balance 47470.40 preserves 19900.00 minimum. Pay full amount immediately, well before 2026-08-09 deadline."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918.00,2024-06-04,none,Safe today (49918 ZAR) equals requested amount; full payment on 2024-06-04 leaves buffer above 45900 minimum; no spending changes needed.
request_245,34443.38,affordable_later,wait,2026-01-15:128500.00,2026-01-15,none,Wait until 15 January 2026
